,Date,Tweets
67,2021-11-04 01:08:06+00:00,Pivotal 💪🏽 ! Looking forward to the day where a majority of the tuition can be paid w/ cryptocurrency.  I pledge to pay in crypto for an undergrad merit-based tuition course and student with @umsi or #CMU #MEV programs when available. - https://t.co/AbaEBuENQS https://t.co/5MFLr0cCCj
68,2021-11-02 15:23:57+00:00,Single #MEV-Arb to net 401.03 ETH from the following tx:  https://t.co/7uZkYAVj6u Absolutely unbelievable! https://t.co/VsGYi5xCLc
69,2021-10-31 13:21:56+00:00,"While #MEV is typically associated with #Ethereum, Proof-of-Stake networks are also affected. @EdenNetwork chats with @Crypto_Briefing about how MEV has affected all users interacting with decentralized exchanges and other #DeFi apps. 

https://t.co/ycT9KmkAV0"
70,2021-10-28 20:23:12+00:00,"The Weekly #Sushiswap  Forum Community call is in less than 40 minutes! We will be there to discuss past weeks Sushi news, events, and proposals + answer questions about #MEV Thursday, October 28, 2021 2:00 PM https://t.co/1DCA7Q97kc"
71,2021-10-25 00:13:48+00:00,"1/#MEV (Miner Extractable Value) สิ่งที่ทำให้ #gas แพง- transaction fails⚠️
#Blockchain จะมี node(เครือข่ายคอมพิวเตอร์)ส่งข้อมูลให้กันทั่วโลก และเก็บใน Mempool 

- Mempool คือตัวเก็บข้อมูล txn ที่ยังไม่ได้คอนเฟิร์ม เพื่อให้ miner- นักขุดเอาข้อมูลจาก mempool มาบันทึกบนบล็อกเชน"
72,2021-10-23 14:39:26+00:00,$ATA bring privacy to the world!! We moon soon🤩🤩🤩 #web3 #Privacy #MEV https://t.co/MDQxZzmjRp
73,2021-10-23 13:43:16+00:00,"I will have a talk to intro @GitcoinDAO , if you're in Shanghai at that time, it is a great time to have fun. We will talk about #DAO, ethereum security and #MEV. Thanks togETHer community member: @ETHPlanet @EthereumCN @HiBlock_Net @DAOSquare co-organize such wonderful event. https://t.co/aHr8XKlLEj"
74,2021-10-20 19:57:32+00:00,"Looks like it's finally happening 👀

Gassless trading coming to @SushiSwap with @foldfinance's OpenMEV product.

$FOLD stakers are about to earn a shitton of fees.

This is why you don't paper hand. 😎

Pay very close attention now, the in-house #MEV solution for $SUSHI is here. https://t.co/tSTAuGXguy"
75,2021-10-20 15:48:20+00:00,Been experimenting with video memes lately. Inspired by the GOAT @cmsintern how did I do? @hasufl @MEVprotection @fleupold_ @boredGenius #MEV #CowSwap https://t.co/mnjj6IRD0V
76,2021-10-19 09:05:23+00:00,"We're at @0xliscon! @ulope will present on the side stage THU 3:20PM. He'll talk about a really cool new application domain for Shutter, stay tuned!
Also, catch @AnotherJannik or @bezzenberger around the conference or side events if you need #MEV protection! #LisbonBlockchainWeek"
77,2021-10-19 06:40:45+00:00,"We’re rethinking #MEV in the context of Web 3.0 and radical fairness.

Current solutions don't seem to think beyond mev auctions - auctioning off the right to front-run users to the highest bidder - a tax imposed on you, the user 😢"
78,2021-10-18 20:37:35+00:00,"Update from @foldfinance $FOLD
Build it and they will come. Value first then price will follow
$FOLD is a #MEV solution for @SushiSwap 

7X on $FOLD so far, but I'm expecting 100X
MC ~$35M 
$FOLD is very undervalued

$FOLD $SUSHI https://t.co/3axnTA5IFt https://t.co/Tv0gghzmqG"
79,2021-10-18 11:49:49+00:00,"Good to see more YTers covering the crucial topic of #MEV .. @mistXlabs X #flashbots ⚗️ X ⚡️🤖 = 🚀 $mist

https://t.co/2ReWCjkt1n"
80,2021-10-16 21:46:50+00:00,"Things are heating up for @foldfinance.

They just released a new update for what's coming in the next few weeks.

https://t.co/MYPGYo41fX

You still have a chance to get into the in-house #MEV solution for @SushiSwap cheap right now.

$FOLD is incredibly undervalued atm IMO. https://t.co/pFHHT9MEXD"
81,2021-10-16 21:13:42+00:00,"Gonna be going live tonight on Twitch, not sure exactly what time yet but probably like 9-930pm Central Time until whenever, but definitely gonna be a marathon tonight! Come listen to the fun sounds of house music by PPIZZ! https://t.co/ttmjcrk0PH #alchemist #mist #mev #flashbots"
82,2021-10-16 05:18:04+00:00,Gepensioneerden gaan er door gasprijs 2% op achteruit in mediaan; dwz dat de helft er meer op achteruitgaat en de helft minder. Na compensatie blijft er daling van 0.8%. Koopkracht daalt in 2022 voor Gepensioneerden dan tenslotte met 1%. Koopkracht bleef nl in #MEV op 0% steken! https://t.co/NnQXqLCxTi
83,2021-10-15 17:22:55+00:00,"I AM NOT LEAVING THE $EDEN SHIP! enough said! 

@EdenNetwork #mev #ethereum https://t.co/kTpRZXvqEp"
84,2021-10-15 15:24:35+00:00,Aufklärung ist King! Du wolltest schon immer wissen was überhaupt dieses MEV (maximal extractable value) ist und warum es schlecht für Crypto ist? Hier ein Blog für Einsteiger und Beginner. (auf Englisch). #education #ethereum #frontfrunning #mev https://t.co/YqjoFZTy9r
85,2021-10-15 12:58:27+00:00,"🚀@bprotocoleth🚀

Democratizing Liquidations for #DeFi!

🔥Import &amp; manage your @compoundfinance or @MakerDAO Vaults with 1-click

💰Deposit $LUSD into @LiquityProtocol

🪄 ⌛️Get free $BPRO from the LM rewards🚀🚀🚀 

Best #MEV project on #Ethereum

https://t.co/EJVzIVOoFn"
86,2021-10-15 06:45:18+00:00,1/6 A friend of mine showed me a picture showing a mev bot gaining nearly 400eth in a single transaction. 🤑 #mev https://t.co/mRY0OwXMEb
87,2021-10-14 11:50:33+00:00,"$FOLD starting to move again. 

I think @foldfinance integration into @SushiSwap is getting real close now.

Only a matter of time before $FOLD catches up to its peers like $MISTX &amp; $EDEN.

Especially considering Manifold will be the in-house #MEV solution for $SUSHI. https://t.co/LPA1ibhydW"
88,2021-10-14 02:48:44+00:00,"#MEV  parece que se sacó de encima el traje de paloma. No es de mi agrado pero debo decir que vamos por ella, el 14, no queda otra que votarla. Lo mas sensato del #DebateCapital . La única que va por la recuperación de la coparticipación para CABA"
89,2021-10-13 21:21:48+00:00,"There is a civil war unfolding behind the curtains of Ethereum. #MEV opportunities incentivize nodes to tokenize stealing from users. Transaction #censorship is the next step in this arms race.

This needs to be dealt with on the consensus layer. #Themis fixes this. ⚖️ https://t.co/VKqBj7bD4h"
90,2021-10-13 09:51:25+00:00,"What is Miner Extractable Value? Can #MEV #bots impact #crypto arbitrage or #DeFi #hacks? Halborn explains⬇️

https://t.co/3uvpqATjr0 https://t.co/7O7ThGl1Ur"
91,2021-10-11 12:57:54+00:00,"[In Depth] 
🤔Want to understand the benefits #Timelock can bring as a part of the @tezos #Hangzhou proposal?
Read the latest NL article &amp; learn how this feature will mitigate #MEV &amp; change the future of the network.
⛓️https://t.co/PofI7yhdWT
#Tezos #research #blockchain #crypto"
92,2021-10-11 05:04:00+00:00,"$100M in liquidity🤯? The best part of this new is, not a single $SCRT was lost to front-running or #MEV. @secret_swap has kept all the bots🤖at bay. Congrats🥳🥳🥳 https://t.co/8KdHbkvXwI"
93,2021-10-11 03:37:16+00:00,"Themis protocol is presented to be a solution for #MEV on application-specific blockchains. The current iteration of the protocol is focusing on the removal of powers causing MEV from any network participant, making them more equal. 👍👍
#IOSG #IOSGVentures #portfolio https://t.co/Rkgmzy8y3J"
94,2021-10-10 20:34:02+00:00,"The magic of @substrate_io technology lies in the ability to change the underlying logic of a blockchain. It allows highly specialized app blockchains to be created.

Changing the way a chain handles transactions allows us to fix problems like #MEV that #Ethereum is plagued with. https://t.co/kq6Tf6LLyI"
95,2021-10-09 17:46:18+00:00,I started @MangataFinance  with the vision to build a DEX-chain that can identify hard problems of #DeFi and provide solutions. We're a team of devs and crypto researchers and we developed a novel approach to prevent #MEV on the consensus layer of the blockchain
96,2021-10-09 17:46:16+00:00,"Announcing ⚖️ THEMIS ⚖️ Protocol! 

A novel consensus mechanism to prevent front-running and miner extractable value.

We're proud to announce we have finished our version-1 to prevent #MEV and protect traders.

This new concept will change #DeFi

Thread 🧵"
97,2021-10-07 05:30:10+00:00,"😱😱😱
Absolutely incredible acheivement not to be ignored!!

This paves the way for ALL #Ethereum users to leverage the Flashbot tech &amp; drive mass adoption of its features through #MEV

You are opening up the Garden of... $MIST 😏😏
🌳⚗️ ⚗️🌳 https://t.co/WMQNE4ybqm"
98,2021-10-06 14:28:48+00:00,"IMHO, all the @bertcmiller Tweets should be coming with the audio book attached. The only person who can talk and write about things with the same clarity.
And this one is a big step towards no-evil #MEV in the flashbots world. https://t.co/NhBLzTXH7o"
99,2021-10-06 14:00:00+00:00,"What are MEV attacks and where do front runners go in a 'dark forrest'? Read our new article: https://t.co/uJr5npHLbs

#DeFi #security #audit #frontrun  #mev #flashbots"
100,2021-10-06 05:00:25+00:00,A Late Night Community update https://t.co/uGXrBkOwko $FOLD #Etheruem #Eth #MEV
101,2021-10-05 22:20:36+00:00,"@crypto_bitlord7 Check out @foldfinance $FOLD.

They're gonna bring gasless trading to Sushiswap. It's the lowest mcap #MEV play out there atm.

Team is hardworking and github activity shows integration on sushi will happen anyday now.

Still undiscovered, did a thread 👇
https://t.co/bC6qyQDT5z"
102,2021-10-05 10:11:24+00:00,"Who should learn about #MEV that's outside of our small MEV researcher/crypto trader circles?
Broader defi community? Legacy finance algo/HFT people?
Any suggestions for channels to reach those people?"
103,2021-10-05 08:37:04+00:00,"Finally bought a bag of $MIST

With #MISTX ability to give #MEV back to the users and high probability of integration with #Uniswap, this seems like an awesome investment

Currently rank #300 in cmc but rising quickly 👀

Thanks for your research @LeaksBlockchain 💪👌"
104,2021-10-02 18:55:59+00:00,"Imagine not aping into the #MEV solution chosen by @Sushiswap themselves to cover the whole protocol and reimburse traders on gas fees 

Fall into the $FOLD or ngmi.

@foldfinance $SUSHI #Crypto $EDEN $MIST $UNI https://t.co/PRMHUKnpRg"
105,2021-10-02 16:00:42+00:00,"6/ How is $RELAY winning the biggest partners in #DeFi #MEV #DEX #IDO #Insurance #Relayers #Crypto?

1. FAST RELAYERS @BitcoinComExch @zokyo_io @AvalaunchApp @ChartExPro @Bridge_Mutual🍻
2. SAFE / TRIPLE AUDITED
@HalbornSecurity @ConsenSys @zokyo_io🍻
3. INSURED @Bridge_Mutual🍻 https://t.co/OiqURGrCVX"
106,2021-10-01 19:55:44+00:00,"$FOLD is that underdog that's going to have everybody going ""How the fuck did I miss this"" soon.

Gasless trading on @SushiSwap, just imagine what's coming when people realise it.

Both $SUSHI and $FOLD about to go ballistic.

@foldfinance #DeFi #MEV https://t.co/ah7VlaC722"
107,2021-10-01 02:36:39+00:00,"$mist ⚗️ Stop lurking on the outer circle, come and join us on discord https://t.co/l5RwfuagsL and you will know what I am talking about 😏 @_alchemistcoin @CrucibleNFT @_mistX_ @CopperLaunch @sandwichedwtf @_alchemistradio #MEV #iykyk #wagmi #NFT #Blockchain https://t.co/lZRit62bxY"
108,2021-09-29 07:01:00+00:00,"MEV that has been extracted by the Protocol in 2021 so far 👀 

#ViaBTC #MEV https://t.co/wihMRAwrvm"
109,2021-09-28 12:00:19+00:00,"Can retail investors benefit from the huge profits of MEV arbitrage?

Read more 👉 https://t.co/ngSmpoFA8K

#CoinEx #MEV"
